timestamps,TP9,AF7,AF8,TP10,Right AUX
1530746690.134,42.969,51.270,-83.984,76.172,-85.449
1530746690.138,-69.336,-10.742,44.922,-38.086,-162.598
1530746690.142,-87.891,-33.203,125.977,-54.199,41.504
1530746690.145,18.555,28.320,3.418,48.828,-100.098
1530746690.149,54.688,64.453,-93.750,77.148,-69.336
1530746690.153,-44.434,11.719,6.348,-23.926,8.789
1530746690.157,-103.027,-33.203,119.141,-81.543,-131.836
1530746690.161,-9.277,13.184,41.016,11.719,12.695
1530746690.165,65.918,65.918,-91.309,82.520,-87.891
1530746690.169,-8.301,33.203,-34.668,6.836,-155.762
1530746690.173,-97.168,-24.414,109.375,-76.172,49.805
1530746690.177,-37.109,-3.906,81.543,-10.254,-85.938
1530746690.181,62.988,53.711,-61.035,86.914,-69.336
1530746690.184,24.902,41.992,-63.965,47.363,6.348
1530746690.188,-86.426,-21.484,77.148,-59.082,-125.000
1530746690.192,-67.383,-26.367,117.188,-39.551,8.301
1530746690.196,53.711,37.598,-23.926,75.195,-74.707
1530746690.200,59.570,56.641,-83.984,80.078,-139.648
1530746690.204,-53.223,0.977,46.387,-26.855,41.992
1530746690.208,-86.426,-28.320,134.766,-53.711,-98.145
1530746690.212,23.926,28.320,21.973,52.246,-64.453
1530746690.216,73.242,67.871,-85.938,94.727,-13.672
1530746690.220,-23.926,17.578,1.465,0.488,-136.230
1530746690.224,-92.285,-30.273,128.418,-62.988,20.020
1530746690.227,-7.324,12.207,62.012,23.438,-88.867
1530746690.231,76.172,64.453,-73.242,100.586,-131.348
1530746690.235,5.859,34.180,-36.621,31.250,37.598
1530746690.239,-94.727,-22.461,100.586,-63.965,-98.145
1530746690.243,-43.457,-2.441,94.727,-12.207,-41.504
1530746690.247,61.523,61.035,-49.805,89.844,-16.113
1530746690.251,32.227,56.152,-63.965,57.129,-131.836
1530746690.255,-79.102,-4.395,74.707,-45.410,30.273
1530746690.259,-75.684,-14.160,119.141,-40.527,-90.820
1530746690.263,39.062,48.828,-13.672,70.312,-143.066
1530746690.267,58.594,69.336,-84.473,89.844,38.574
1530746690.270,-49.316,9.277,34.180,-15.137,-104.492
1530746690.274,-91.309,-26.367,132.812,-53.711,-37.598
1530746690.278,12.695,21.973,31.250,48.340,-22.461
1530746690.282,69.824,65.918,-86.426,101.562,-154.297
1530746690.286,-22.949,26.367,-7.812,7.812,30.273
1530746690.290,-102.051,-26.855,123.047,-69.336,-103.027
1530746690.294,-23.438,10.254,70.312,14.648,-145.508
1530746690.298,68.359,72.754,-70.312,100.098,44.434
1530746690.302,14.160,48.340,-44.922,42.480,-84.961
1530746690.306,-85.449,-16.113,95.215,-54.199,-31.250
1530746690.309,-51.270,-10.742,100.586,-22.461,-32.227
1530746690.313,56.152,50.781,-43.945,83.496,-143.066
1530746690.317,36.621,57.617,-78.125,65.918,27.344
1530746690.321,-72.266,-4.883,63.965,-40.527,-93.750
1530746690.325,-77.148,-22.949,129.883,-47.852,-123.535
1530746690.329,31.250,39.551,-3.906,58.594,39.551
1530746690.333,60.059,63.965,-89.355,84.961,-90.332
1530746690.337,-40.527,10.254,22.461,-14.160,-26.367
1530746690.341,-96.680,-30.273,128.418,-62.012,-56.152
1530746690.345,1.953,16.113,37.109,36.621,-156.250
1530746690.349,78.125,70.801,-85.938,101.074,36.621
1530746690.352,-2.441,32.715,-20.508,15.137,-111.328
1530746690.356,-90.820,-25.879,115.723,-68.359,-113.281
1530746690.360,-27.344,0.488,76.172,1.465,34.180
1530746690.364,69.824,61.035,-66.406,97.656,-114.258
1530746690.368,23.438,48.828,-53.223,51.758,-14.160
1530746690.372,-82.031,-14.160,85.938,-50.293,-56.152
1530746690.376,-56.152,-13.184,110.840,-21.484,-154.785
1530746690.380,54.199,49.316,-28.809,88.867,45.898
1530746690.384,49.805,58.105,-83.496,80.078,-92.285
1530746690.388,-61.035,-0.977,47.852,-29.785,-112.793
1530746690.392,-80.566,-22.949,125.977,-44.922,28.320
1530746690.395,32.715,32.227,4.395,66.895,-116.699
1530746690.399,77.148,66.895,-92.285,103.516,-10.254
1530746690.403,-25.391,18.066,8.789,6.348,-57.617
1530746690.407,-93.262,-28.809,126.953,-53.711,-170.898
1530746690.411,2.441,14.648,52.246,33.203,40.039
1530746690.415,80.566,65.918,-77.637,109.375,-101.562
1530746690.419,5.859,36.621,-26.855,35.645,-108.887
1530746690.423,-84.961,-20.020,113.281,-55.664,15.137
1530746690.427,-29.297,1.953,91.309,4.883,-118.652
1530746690.431,69.824,65.918,-56.641,103.516,2.441
1530746690.434,33.691,55.176,-65.430,63.477,-70.312
1530746690.438,-77.637,-8.301,76.660,-43.945,-162.598
1530746690.442,-64.941,-10.742,117.676,-29.297,37.598
1530746690.446,43.945,51.758,-24.414,80.078,-92.285
1530746690.450,50.293,66.895,-89.844,80.078,-83.984
1530746690.454,-54.688,7.812,38.086,-26.367,10.742
1530746690.458,-90.820,-22.949,129.395,-50.781,-116.699
